Geography,Definition,Note,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Cook Islands,The consumer price index rebased to 2010=100 by the EIU,,–,–,–,–,–,–,–,–,–,–,56.729,57.922,59.966,64.14,65.332,66.61,66.184,65.928,66.44,67.291,69.421,75.468,78.024,79.557,80.324,82.283,85.009,87.138,94.037,100.256,100,102.215,105.281,107.24,109.455,111.584,111.244,111.158,111.329,112.181,–
Costa Rica,The consumer price index rebased to 2010=100 by the EIU,,0.878,1.203,2.287,3.033,3.395,3.906,4.369,5.105,6.168,7.186,8.555,11.01,13.409,14.721,16.714,20.589,24.194,27.399,30.594,33.667,37.358,41.563,45.373,49.659,55.775,63.471,70.751,77.371,87.758,94.641,100,104.878,109.593,115.326,120.538,121.505,121.483,123.458,126.201,128.846,129.78
Croatia,The consumer price index rebased to 2010=100 by the EIU,,–,–,–,–,–,–,–,–,–,–,–,–,1.864,30.166,59.58,60.75,62.963,65.299,69.667,72.477,75.814,78.678,79.993,81.407,83.08,85.836,88.574,91.142,96.68,98.958,100,102.273,105.762,108.107,107.874,107.373,106.165,107.364,108.975,109.816,109.986
Cuba,The consumer price index rebased to 2010=100 by the EIU,,–,–,–,–,–,–,–,–,–,–,–,–,–,–,84.7,76.2,70.7,70.1,73.3,74.8,75.2,74.7,81.2,81.8,83.2,86.1,89.7,95,96.7,98,100,104.8,110.6,117.2,123.4,129.1,134.9,142.3,152.1,160.7,175.9
Curaçao,The consumer price index rebased to 2010=100 by the EIU,,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,89.475,95.626,97.298,100,79.355,105.582,106.972,108.634,108.11,108.022,109.771,85.23,87.387,89.37
Cyprus,The consumer price index rebased to 2010=100 by the EIU,,33.657,37.274,39.671,41.675,44.172,46.396,46.961,48.272,49.927,51.807,54.14,56.866,60.725,63.508,66.492,68.231,70.252,72.582,74.28,75.124,78.778,80.342,82.583,85.867,87.496,89.269,91.275,93.25,97.334,97.503,100,103.486,106.693,107.101,106.822,105.166,103.886,104.585,105.413,105.99,104.817
Czech Republic,The consumer price index rebased to 2010=100 by the EIU,,–,–,–,–,–,–,–,–,–,–,–,34.922,38.774,46.775,51.389,56.119,61.046,66.314,73.41,74.996,77.818,81.464,82.996,83.094,85.379,86.983,89.178,91.749,97.536,98.54,100,101.908,105.25,106.764,107.14,107.49,108.206,110.876,113.25,116.485,120.167
Côte d'Ivoire,The consumer price index rebased to 2010=100 by the EIU,,25.354,27.585,29.677,31.351,32.695,33.304,36.529,39.065,41.772,42.211,41.9,42.6,44.4,45.3,57.2,65.3,67,69.6,72.9,73.4,75.2,78.5,80.9,83.6,84.8,88.106,90.28,91.988,97.791,98.788,100,104.912,106.281,109.024,109.513,110.884,111.686,112.452,112.856,111.607,114.5
Denmark,The consumer price index rebased to 2010=100 by the EIU,0,37.258,41.605,45.836,48.96,52.075,54.512,56.538,58.797,61.421,64.358,66.072,67.669,69.089,69.928,71.338,72.82,74.382,76.006,77.399,79.309,81.648,83.567,85.602,87.387,88.387,89.994,91.708,93.288,96.483,97.724,100,102.74,105.195,106.025,106.623,107.123,107.391,108.614,109.489,110.337,110.81
Djibouti,The consumer price index rebased to 2010=100 by the EIU,,–,97.601,95.247,96.106,97.919,100.003,118.149,122.98,–,–,–,–,–,–,–,–,–,–,–,68.567,70.075,71.3,71.755,73.178,75.455,77.8,80.513,84.511,94.615,96.202,100,105.07,108.992,111.941,113.443,112.482,115.56,116.218,116.389,120.251,122.39
Dominica,The consumer price index rebased to 2010=100 by the EIU,,41.499,47.005,49.071,51.106,52.24,54.193,55.697,57.938,59.633,63.341,65.362,68.994,72.77,73.911,73.923,74.897,76.153,78.008,78.787,79.717,80.4,81.448,81.587,82.772,84.754,86.18,88.078,91.277,97.082,97.088,100,101.131,102.503,102.456,103.275,102.403,102.548,102.852,103.87,105.432,104.666
Dominican Republic,The consumer price index rebased to 2010=100 by the EIU,,1.486,1.597,1.719,1.816,2.182,3.171,3.414,3.876,5.576,7.844,11.802,17.358,18.097,19.047,20.621,23.203,24.456,26.485,27.765,29.564,31.846,34.675,36.485,46.505,70.43,73.384,78.942,83.791,92.711,94.05,100,108.462,112.469,117.9,121.437,122.453,124.429,128.509,133.091,135.498,140.6
Ecuador,The consumer price index rebased to 2010=100 by the EIU,,0.059,0.07,0.081,0.122,0.158,0.203,0.248,0.321,0.51,0.894,1.327,1.973,3.051,4.423,5.634,6.925,8.621,11.267,15.342,23.352,45.78,62.919,70.736,76.334,78.436,80.163,82.821,84.716,91.836,96.571,100,104.472,109.799,112.787,116.839,121.475,123.576,124.091,123.817,124.147,123.725
Egypt,The consumer price index rebased to 2010=100 by the EIU,,4.048,4.422,5.124,5.92,6.879,7.745,9.64,11.441,13.547,16.378,19.139,22.953,26.088,29.2,31.563,36.57,39.214,40.922,42.653,43.893,45.063,46.093,47.333,49.509,55.101,57.745,62.19,68.063,80.51,90.033,100,110.084,117.969,129.106,142.139,156.855,178.545,231.212,264.483,288.746,303.346
El Salvador,The consumer price index rebased to 2010=100 by the EIU,,5.6,6.5,7.2,8.2,9.1,11.2,14.7,18.4,22.1,25.9,32.2,36.8,40.9,48.5,53.6,59,64.8,67.7,69.4,69.8,71.4,74.1,75.4,77,80.5,84.241,87.64,91.654,98.306,98.834,100,105.129,106.947,107.758,108.988,108.19,108.844,109.948,111.144,111.226,110.815
Equatorial Guinea,The consumer price index rebased to 2010=100 by the EIU,,–,–,–,–,–,37.872,31.189,27.073,27.756,29.489,29.739,28.698,27.489,28.981,38.205,45.805,47.879,49.338,53.221,53.421,55.995,60.937,65.57,70.377,73.336,77.485,80.893,83.168,88.618,92.767,100,104.8,108.633,111.841,116.657,118.607,120.283,121.197,122.836,124.31,130.276
Eritrea,The consumer price index rebased to 2010=100 by the EIU,,–,–,–,–,–,–,–,–,–,–,–,–,8.807,9.228,10.441,11.692,12.895,13.378,14.644,15.874,19.04,21.825,25.508,31.29,39.147,44.043,50.676,55.444,67.735,90.664,100,105.887,110.92,117.506,129.295,166.123,156.859,135.987,116.404,97.4,102.1
Estonia,The consumer price index rebased to 2010=100 by the EIU,,–,–,–,–,–,–,–,–,–,–,–,0.983,11.555,21.933,32.378,41.779,51.405,57.154,61.845,63.889,66.452,70.274,72.778,73.753,76.001,79.109,82.614,88.064,97.193,97.11,100,104.978,109.108,112.151,112.027,111.477,111.643,115.455,119.419,122.151,121.603
Eswatini,The consumer price index rebased to 2010=100 by the EIU,Not Seasonally Adjusted,5.365,6.441,7.138,7.963,8.994,10.784,12.027,13.535,16.82,18.089,20.457,22.285,23.969,26.851,30.548,34.302,36.506,39.108,42.279,44.853,50.329,53.32,59.729,64.083,66.291,69.538,73.14,79.047,89.052,95.685,100,106.107,115.593,122.091,129.027,135.416,146.042,155.128,162.598,166.822,173.5
Ethiopia,The consumer price index rebased to 2010=100 by the EIU,Non-seasonally adjusted,12.919,13.712,14.52,14.422,15.636,18.616,16.79,16.383,17.543,18.914,19.888,26.993,29.835,30.892,33.238,36.569,34.715,34.268,34.575,37.32,37.567,34.486,34.719,39.467,40.78,44.846,50.361,59.044,85.234,92.465,100,133.25,148.886,160.958,172.876,190.362,204.182,226.476,257.8,298.602,359.346
Fiji,The consumer price index rebased to 2010=100 by the EIU,,25.894,28.789,30.813,32.879,34.618,36.149,36.799,38.883,43.455,46.145,49.925,53.169,55.765,58.786,59.148,60.429,62.272,64.369,68.046,69.385,70.143,73.14,73.697,76.773,78.943,80.811,82.824,86.802,93.514,96.442,100,107.278,110.951,114.183,114.776,116.354,120.849,124.895,129.992,132.297,128.864
Finland,The consumer price index rebased to 2010=100 by the EIU,,44.945,50.294,55.101,59.716,63.936,67.679,70.128,72.67,76.257,81.248,68.697,71.844,74.156,76.633,77.862,78.165,79.018,79.982,81.055,82.138,84.55,86.817,88.514,89.67,89.817,90.541,91.642,93.101,96.817,98.358,100,103.303,106.578,108.945,110.229,110.073,110.523,111.45,112.761,114.037,114.486
