Imports from,1980 *y,.DESC,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Barbados,M534F316,India: Imports [cif] from Barbados (Mil.US$),#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.01,#N/A,#N/A,#N/A,0.08,0.03,#N/A,0.01,0.01,0.04,0.02,0.03,0.12,0.06,0.05,0.2,0.12,0.86,0.14,0.12,0.17,0.16,0.16,0.12,1.45,1.61,0.62
Bermuda,M534F319,India: Imports [cif] from Bermuda (Mil.US$),0.29,0.15,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.01,0,0,0.03,#N/A,0.01,#N/A,3.83,#N/A,#N/A,#N/A,0.27,#N/A,#N/A,0.98,0.36,0.43,0.43,0.25,64.29,0.08,0,0,0.04,0.09,0,0,0.01,#N/A,7.68,#N/A
Dominica,M534F321,India: Imports [cif] from Dominica (Mil.US$),#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.37,#N/A,#N/A,#N/A,0.01,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.05,0.03,0.08,0.28,0.21,0.32,0.89,0.64,0.83,0.16,0.41,0.43,1.27,0.07,0.11,0.74,0.25,0.27,0.27,0.3
Falkland Islands,M534F323,India: Imports [cif] from Falkland Islands (Mil.US$),#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,0,1,1,2,1,1,3,2,#N/A,#N/A,#N/A,0,#N/A
Greenland,M534F326,India: Imports [cif] from Greenland (Mil.US$),#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#N/A,#N/A,0
Grenada,M534F328,India: Imports [cif] from Grenada (Mil.US$),#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.14,#N/A,#N/A,#N/A,#N/A,#N/A,0.16,#N/A,#N/A,0.08,0.02,0.01,0.2,0.15,0.06,#N/A,0.09,0.03,0.07,0.05,0.06,0,0.02,#N/A,0,#N/A,#N/A,0.25,0.33,0.59,0.42
Guadeloupe,M534F329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
French Guyana,M534F333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guyana,M534F336,India: Imports [cif] from Guyana (Mil.US$),#N/A,0.03,0.01,0.54,1.06,#N/A,0.14,0.12,0.27,#N/A,#N/A,#N/A,#N/A,0.02,#N/A,#N/A,1.22,0.3,0.38,1.4,1.4,1.38,2.13,9.5,8.21,17.73,16.38,15.56,11.44,7.35,11.12,10.21,4.72,6.03,9.28,16.47,15.75,8.77,6.69,6.48,10.5
Belize,M534F339,India: Imports [cif] from Belize (Mil.US$),#N/A,0.01,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.03,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0.36,0.12,0.01,0.03,4.44,11.55,13.68,0.07,0.51,0.1,0.15,0.22,1.57,0.45,0.38,1.34,0.75,0.85,0.65
Jamaica,M534F343,India: Imports [cif] from Jamaica (Mil.US$),#N/A,0.02,0.01,#N/A,0.04,#N/A,0.01,#N/A,0,#N/A,0,0.01,0.01,0.03,0.01,0.12,0.04,#N/A,0.23,0.15,0.1,0.09,0.29,0.73,2.19,2.26,0.99,17.53,1.03,1.03,0.64,1.34,2.6,0.83,1.72,1.28,1.3,4.01,4.11,4.01,2.11
Leeward Islands,M534F346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Martinique,M534F349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montserrat,M534F351,India: Imports [cif] from Montserrat [DISC] (Mil.US$),#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A
Netherlands Antilles,M534F353,India: Imports [cif] from Netherlands Antilles (Mil.US$),12.22,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.37,27.86,#N/A,#N/A,#N/A,0.03,0.63,#N/A,#N/A,#N/A,#N/A,0.07,#N/A,#N/A,0.15,0.05,0.04,0.82,1.21,1.25,1.07,0.99,52.78,19.36,3.59,140.8,14.6,112.15,8.34,7.4,25.56,#N/A
St Kitts and Nevis,M534F361,India: Imports [cif] from St. Kitts & Nevis (Mil.US$),#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.01,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.01,0.01,0.07,#N/A,0.03,0.01,0.23,#N/A,0.02,0.41,0.2,0.01,#N/A,#N/A,#N/A,#N/A
St Lucia,M534F362,India: Imports [cif] from St Lucia (Mil.US$),#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,0,0,3,0,26,0,0,0,1,0,0,0,0,1,1,0
St Pierre and Miguelon,M534F363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
