Exports to,1980 *y,.DESC,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Peru,X534T293,India: Exports to Peru (Mil.US$),3.81,0.68,1.31,0.48,0.43,0.32,0.66,0.86,0.88,1.37,0.49,2.48,2.96,3.16,6.03,15.81,23.05,19.65,23.03,30.55,27.95,33.78,46.03,40.93,58.84,80.4,115.27,246.54,407.85,213.02,399.55,558.59,635.01,649.37,754.61,755.98,683.15,729.16,758.08,751.34,701.95
Uruguay,X534T298,India: Exports to Uruguay (Mil.US$),4.16,1.6,0.38,0.86,0.15,0.23,0.61,0.44,0.54,1.76,0.51,1.32,3.5,4.33,12.39,11.54,12.74,29.53,35.88,29,33.4,32.59,19.15,18.83,21.9,27.07,34.66,47.3,69.93,45.86,78.94,135.16,137.74,151.15,217.69,165.62,139.86,188.76,189.19,154.73,98.02
Venezuela,X534T299,India: Exports to Venezuela (Mil.US$),0.64,0.58,0.75,0.5,0.67,1.12,2.47,1.77,1.93,4.39,5.93,6.88,10.4,13.93,9.18,10.59,14.46,21.23,25.4,24.05,37.55,58.38,44.29,25.98,56.51,88.8,118.47,139.26,159.59,189.53,154.98,238.13,252.28,215.28,237.77,160.74,73.24,82.05,72.71,240.16,758.46
Antigua and Barbuda,X534T311,India: Exports to Antigua & Barbuda (Mil.US$),1.58,0.03,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,0.02,0,0.02,#N/A,0.03,0.04,0.44,0.5,0.13,0.23,0.23,0.21,0.22,3.48,1.92,1.11,1.34,1.75,3.44,1.64,0.61,0.93,1.51,1.61,2.24,2.64,2.19,1.97,2.92,2.18,1.44
Bahamas,X534T313,India: Exports to Bahamas (Mil.US$),0.8,0.01,0.08,0.13,28.38,0.13,0.18,0.34,0.42,#N/A,0.78,0.35,8.36,6.82,0.45,0.43,0.38,0.95,0.8,1.23,2.08,0.71,2.55,3.22,5,8.4,48.23,28.47,15.23,512.9,1996.66,2462.33,2424.67,817.7,122.84,12.24,5.73,7.37,5.78,8.42,55.88
Aruba,X534T314,India: Exports to Aruba (Mil.US$),#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.58,1.25,0.87,1.57,1.53,1.68,2.47,2.52,3.34,3.42,6.49,8.29,6.48,8.51,9.34,4.84
Barbados,X534T316,India: Exports to Barbados (Mil.US$),0.1,0.03,0.17,0.1,0.09,0.06,0.14,0.32,0.27,1.11,0.01,0.07,0.09,0.29,0.52,0.13,1.31,1.48,2.55,3.43,3.23,1.01,2.11,1.5,1.52,2.17,2.58,2.55,3.76,3.95,5.06,7.04,6.57,6.38,9.41,9.77,13.27,12.05,12.07,13.21,10.41
Bermuda,X534T319,India: Exports to Bermuda (Mil.US$),0.02,0.09,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.13,#N/A,1.25,0.18,0.24,0.31,0.29,0.17,1.14,0.7,0.75,0.73,0.55,0.48,0.3,0.47,0.55,0.41,0.65,1.13,0.75,0.89,0.89,0.95,1.3,2.06,3.12,2.37,4.04,3.46,3.13,2.46,3.16
Dominica,X534T321,India: Exports to Dominica (Mil.US$),#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.02,0.07,0.03,0.12,0.09,0.44,0.78,1.1,1.42,3.65,5.18,3.15,4.13,1.91,2.07,2.15,2.01,2.47,2.79,2.92,2.49,2.82,2.96,2.22,2.66,2.39,2.37,1.75,2.46,1.68,1.66,2.33,1.29
Falkland Islands,X534T323,India: Exports to Falkland Islands (Mil.US$),0.05,0.01,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,0.01,#N/A,#N/A,#N/A,#N/A,0,0.01,0.13,0.08,0.03,0.2,0.11,0.09,0.04,0.04,0.58,0.81,0,#N/A,0,#N/A,#N/A,#N/A,#N/A,0
Greenland,X534T326,India: Exports to Greenland (Mil.US$),#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.4,#N/A,0.01,0.03,0.01,0.09,#N/A,#N/A,#N/A,#N/A,0.15,0.28,0.52,0.07,0.12,0.1,2.54,0.84,0.04,0.03,0.45,0.06,0.17,0.43,1.73,1.15,8.93,#N/A,0.01,#N/A,0.03,1.11
Grenada,X534T328,India: Exports to Grenada (Mil.US$),0.02,0.01,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.4,0.02,#N/A,#N/A,0.04,0.01,#N/A,0.08,0.1,0.4,0.36,0.45,0.56,0.3,0.71,0.8,1.13,0.49,0.54,0.82,1.08,0.89,1.32,1.54,1.85,2.62,2.92,2.8,3.38,2.06
Guadeloupe,X534T329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
French Guyana,X534T333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guyana,X534T336,India: Exports to Guyana (Mil.US$),0.82,0.13,0.13,0.32,0.18,0.11,0.06,0.04,0.06,#N/A,0.13,1.56,0.99,0.59,0.8,0.86,1.45,1.3,2.03,2.38,4.43,3.41,3.16,4.45,6.08,10.08,12.65,13.49,13.36,14.05,16.39,20.94,21.1,22.66,23.4,24.86,19.32,23.19,31.76,25.01,24.28
